,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
162,1367020800,139.88,122.71,136.9,59870.79,7853806.49,128.0,direct,
163,1367107200,136.68,127.5,128.0,27503.11,3662548.48,134.44,direct,
164,1367193600,149.08,133.0,134.44,70186.33,9983975.08,144.0,direct,
165,1367280000,146.93,134.0,144.0,65198.58,9119200.99,139.23,direct,
166,1367366400,140.06,104.0,139.23,179988.85,21787942.86,116.38,direct,
167,1367452800,126.9,91.11,116.38,234129.17,24932099.53,106.25,direct,
168,1367539200,109.0,79.0,106.25,246411.17,22496255.33,98.1,direct,
169,1367625600,116.3,92.0,98.1,132582.59,14143158.98,112.9,direct,
170,1367712000,118.85,107.0,112.9,84177.84,9553872.26,115.98,direct,
171,1367798400,124.9,106.01,115.98,150048.99,17604384.72,112.25,direct,
172,1367884800,114.0,97.52,112.25,139626.72,14898971.67,109.61,direct,
173,1367971200,116.78,109.5,109.61,61680.32,6990518.96,113.2,direct,
174,1368057600,113.72,108.8,113.2,26894.46,3003068.41,112.8,direct,
175,1368144000,122.5,111.54,112.8,77443.67,9140709.08,117.7,direct,
176,1368230400,118.74,113.0,117.7,28023.47,3238018.29,115.64,direct,
177,1368316800,117.47,112.4,115.64,20575.19,2357929.41,114.82,direct,
178,1368403200,118.88,114.5,114.82,26134.01,3058207.49,117.98,direct,
179,1368489600,119.8,109.42,117.98,87726.09,10075279.73,111.4,direct,
180,1368576000,116.44,103.02,111.4,117898.23,12997994.8,114.22,direct,
181,1368662400,118.97,112.1,114.22,45071.68,5202992.37,118.21,direct,
182,1368748800,125.56,116.57,118.21,79063.33,9600699.71,123.5,direct,
183,1368835200,125.31,122.25,123.5,22615.72,2800255.89,123.21,direct,
184,1368921600,124.5,119.5,123.21,20478.43,2495650.34,122.5,direct,
185,1369008000,123.69,120.1,122.5,17238.12,2108418.94,122.02,direct,
186,1369094400,123.08,121.1,122.02,13313.67,1628026.67,122.89,direct,
187,1369180800,124.5,122.0,122.89,18198.48,2238395.81,123.8,direct,
188,1369267200,126.93,123.0,123.8,22045.5,2762861.55,126.3,direct,
189,1369353600,133.98,125.36,126.3,48649.99,6317090.66,133.1,direct,
190,1369440000,133.5,128.2,133.1,16816.58,2200845.29,131.99,direct,
191,1369526400,136.0,130.61,131.99,23327.21,3126240.29,133.5,direct,
192,1369612800,135.47,124.0,133.5,46796.59,6052716.47,130.64,direct,
193,1369699200,130.64,125.4,130.64,22748.7,2911329.39,129.0,direct,
194,1369785600,132.72,127.6,129.0,19177.31,2500237.39,132.25,direct,
195,1369872000,132.4,126.5,132.25,24566.45,3179031.6,128.8,direct,
196,1369958400,130.0,126.33,128.8,16466.87,2110227.34,128.82,direct,
197,1370044800,129.79,127.1,128.82,6309.92,810240.48,129.3,direct,
198,1370131200,130.1,115.0,129.3,101114.74,12332357.62,122.5,direct,
199,1370217600,122.78,115.11,122.5,28795.29,3426873.4,120.74,direct,
200,1370304000,123.99,118.79,120.74,21749.73,2633256.94,121.4,direct,
201,1370390400,123.5,119.5,121.4,16591.69,2015275.84,121.9,direct,
202,1370476800,123.3,117.0,121.9,21921.97,2623564.82,118.97,direct,
203,1370563200,119.13,106.15,118.97,65643.28,7357062.32,111.0,direct,
204,1370649600,113.19,107.0,111.0,17113.57,1862090.61,107.89,direct,
205,1370736000,108.99,88.0,107.89,149250.92,14628128.89,100.44,direct,
206,1370822400,110.63,95.0,100.44,64125.61,6764668.73,106.35,direct,
207,1370908800,109.6,103.23,106.35,15933.45,1704624.52,109.0,direct,
208,1370995200,112.25,106.0,109.0,17540.54,1916593.99,108.78,direct,
209,1371081600,110.3,100.3,108.78,30276.66,3186391.58,103.95,direct,
210,1371168000,104.7,97.1,103.95,35923.53,3615245.12,99.99,direct,
211,1371254400,103.7,97.5,99.99,22476.84,2257850.79,99.8,direct,
212,1371340800,101.75,98.9,99.8,8619.58,861313.23,99.9,direct,
213,1371427200,102.4,98.9,99.9,15024.77,1516435.36,101.95,direct,
214,1371513600,113.3,101.03,101.95,60446.31,6491826.47,107.35,direct,
215,1371600000,110.99,104.66,107.35,17421.0,1879212.32,108.25,direct,
216,1371686400,114.48,107.12,108.25,42909.53,4774161.1,111.29,direct,
217,1371772800,115.01,107.56,111.29,37916.61,4221551.74,109.5,direct,
218,1371859200,109.96,107.51,109.5,7196.65,781056.97,108.2,direct,
219,1371945600,109.0,106.2,108.2,10974.21,1179572.74,107.9,direct,
220,1372032000,108.33,100.76,107.9,28755.72,2970209.43,102.1,direct,
221,1372118400,109.98,100.0,102.1,93495.87,9737161.74,103.33,direct,
222,1372204800,105.49,101.83,103.33,13074.01,1361155.01,104.0,direct,
223,1372291200,104.0,100.06,104.0,14516.46,1481838.89,101.74,direct,
224,1372377600,101.79,92.25,101.74,47455.09,4594020.57,94.66,direct,
225,1372464000,100.44,93.0,94.66,25419.63,2457873.24,95.0,direct,
226,1372550400,98.12,93.85,95.0,8488.32,822038.9,97.51,direct,
227,1372636800,98.18,86.01,97.51,52796.2,4817325.36,88.05,direct,
228,1372723200,92.57,87.51,88.05,27396.38,2466507.43,90.51,direct,
229,1372809600,91.2,76.0,90.51,73017.06,6073317.69,78.89,direct,
230,1372896000,84.27,72.0,78.89,63440.37,4966499.64,80.2,direct,
231,1372982400,80.6,65.42,80.2,90767.53,6454413.42,68.5,direct,
232,1373068800,75.0,66.81,68.5,40793.42,2866037.15,69.66,direct,
233,1373155200,77.0,66.6,69.66,42847.02,3032307.79,76.5,direct,
234,1373241600,80.0,72.46,76.5,58514.64,4503253.45,76.0,direct,
235,1373328000,78.3,72.51,76.0,32217.4,2437106.04,76.7,direct,
236,1373414400,89.84,75.53,76.7,59672.71,4916740.89,88.0,direct,
237,1373500800,90.7,85.0,88.0,35244.01,3084484.64,88.98,direct,
238,1373587200,104.17,88.0,88.98,101213.45,9759561.48,93.99,direct,
239,1373673600,98.32,87.76,93.99,34261.15,3186590.74,98.32,direct,
240,1373760000,99.0,92.86,98.32,12218.47,1171458.48,94.42,direct,
241,1373846400,101.94,93.11,94.42,34121.74,3366165.02,98.89,direct,
242,1373932800,100.73,96.0,98.89,15900.43,1560692.7,97.1,direct,
243,1374019200,100.0,96.18,97.1,16680.42,1642097.6,98.5,direct,
244,1374105600,98.8,86.2,98.5,58919.25,5358091.05,90.07,direct,
245,1374192000,95.2,87.6,90.07,26957.55,2474448.15,92.09,direct,
246,1374278400,93.1,89.27,92.09,9066.0,829452.96,89.82,direct,
247,1374364800,92.0,88.0,89.82,8614.05,769333.68,92.0,direct,
248,1374451200,92.0,89.8,92.0,8215.9,751344.12,91.6,direct,
249,1374537600,97.13,91.6,91.6,23790.42,2251574.55,95.56,direct,
250,1374624000,95.99,92.3,95.56,13827.2,1304035.34,95.09,direct,
251,1374710400,97.48,93.57,95.09,21666.37,2086771.46,96.95,direct,
252,1374796800,97.48,96.0,96.95,10435.8,1004832.58,96.02,direct,
253,1374883200,97.0,93.0,96.02,14637.48,1383243.82,94.4,direct,
254,1374969600,100.58,94.0,94.4,42022.37,4137932.56,98.78,direct,
